Babatana;baa
Bainouk-Gunyuño;bab
Baduy;bac
Baré;bae
Nubaca;baf
Tuki;bag
Bahamian Creole;bah
Barakai;baj
Baluchi;bal
Balinese;ban
Waimaha;bao
Bantawa;bap
Bavarian;bar
Basaa;bas
Badanchi;bau
Babungo;bav
Bambili-Bambui;baw
Bamum;bax
Batuley;bay
Baatonum;bba
Barai;bbb
Toba Batak;bbc
Bau;bbd
Bangba;bbe
Baibai;bbf
Barama;bbg
Bugan;bbh
Barombi;bbi
Ghomala';bbj
Babanki;bbk
Bats;bbl
Babango;bbm
Uneapa;bbn
Konabéré;bbo
West Central Banda;bbp
Bamali;bbq
Girawa;bbr
Bakpinka;bbs
Mburku;bbt
Bakulung;bbu
Karnai;bbv
Baba;bbw
Bubia;bbx
Befang;bby
Central Bai;bca
Bainouk-Samik;bcb
North Babar;bcd
Bamenyam;bce
Bamu;bcf
Baga Pokur;bcg
Bariai;bch
Baoule;bci
Bardi;bcj
Bunaba;bck
Bikol Central;bcl
Banoni;bcm
Bibaali;bcn
Kaluli;bco
Bali;bcp
Bench;bcq
Babine-Witsuwit'en;bcr
Kohumono;bcs
Bendi;bct
Biliau;bcu
Shoo-Minda-Nye;bcv
Bana;bcw
Bacama;bcy
Bainouk-Gunyaamolo;bcz
Bayot;bda
Basap;bdb
Emberá-Baudó;bdc
Bunama;bdd
Bade;bde
Biage;bdf
Bonggi;bdg
Tara Baka;bdh
Burun;bdi
Bai;bdj
Budukh;bdk
Indonesian Bajau;bdl
Buduma;bdm
Baldemu;bdn
Morom;bdo
Bende;bdp
Bahnar;bdq
West Coast Bajau;bdr
Burunge;bds
Bokoto;bdt
Oroko;bdu
Bodo Parja;bdv
Baham;bdw
Budong-Budong;bdx
Bandjalang;bdy
Badeshi;bdz
Beaver;bea
Bebele;beb
Iceve-Maci;bec
Bedoanas;bed
Byangsi;bee
Benabena;bef
Belait;beg
Biali;beh
Bekati';bei
Beja;bej
Bebeli;bek
Bemba;bem
Beami;beo
Besoa;bep
Beembe;beq
Besme;bes
Guiberoua Bété;bet
Blagar;beu
Daloa Bété;bev
Betawi;bew
Jur Modo;bex
Akuwagel;bey
Kibena;bez
Bari;bfa
Pauri Bareli;bfb
Panyi Bai;bfc
Bafut;bfd
Betaf;bfe
Bofi;bff
Busang Kayan;bfg
Blafe;bfh
British Sign Language;bfi
Bafanji;bfj
Banda-Ndélé;bfl
Mmen;bfm
Bunak;bfn
Malba Birifor;bfo
Beba;bfp
Badaga;bfq
Southern Bai;bfs
Balti;bft
Gahri;bfu
Bondo;bfw
Bantayanon;bfx
Bagheli;bfy
Mahasu Pahari;bfz
Gwamhi-Wuri;bga
Bobongko;bgb
Haryanvi;bgc
Rathwi Bareli;bgd
Bauria;bge
Bangandu;bgf
Bugun;bgg
Giangan;bgi
Bangolan;bgj
Bit;bgk
Baga Koga;bgo
Bagri;bgq
Bawm Chin;bgr
Tagabawa;bgs
Bughotu;bgt
Mbongno;bgu
Warkay-Bipim;bgv
Bhatri;bgw
Balkan Gagauz Turkish;bgx
Benggoi;bgy
Banggai;bgz
Bharia;bha
Bhili;bhb
Biga;bhc
Bhadrawahi;bhd
Odiai;bhf
Binandere;bhg
Bukhari;bhh
Bhilali;bhi
Bahing;bhj
Bimin;bhl
Bathari;bhm
Bohtan Neo-Aramaic;bhn
Bhojpuri;bho
Bima;bhp
Tukang Besi South;bhq
Buwal;bhs
Bhattiyali;bht
Bhunjia;bhu
Bahau;bhv
Biak;bhw
Bhele;bhy
Bada;bhz
Badimaya;bia
Bissa;bib
Bikaru;bic
Bidiyo;bid
Bepour;bie
Biafada;bif
Biangai;big
Kwanka;bij
Bile;bil
Bimoba;bim
Edo;bin
Nai;bio
Bila;bip
Bipi;biq
Bisorio;bir
Berinomo;bit
Biete;biu
Southern Birifor;biv
Kol (Cameroon);biw
Bijori;bix
Birhor;biy
Baloi;biz
Budza;bja
Barngarla;bjb
Bariji;bjc
Biao-Jiao Mien;bje
Barzani Jewish Neo-Aramaic;bjf
Bidyogo;bjg
Bahinemo;bjh
Burji;bji
Kannauji;bjj
Barok;bjk
Bulu (New Guinea);bjl
Bajelani;bjm
Banjarese;bjn
Mid-Southern Banda;bjo
Fanamaket;bjp
Binumarien;bjr
Bajan;bjs
Balanta-Ganja;bjt
Busuu;bju
Bedjond;bjv
Bakwé;bjw
Banao Itneg;bjx
Bayali;bjy
Baruga;bjz
Kyak;bka
Baka;bkc
Binukid;bkd
Beeke;bkf
Buraka;bkg
Bakoko;bkh
Baki;bki
Pande;bkj
Brokskat;bkk
Berik;bkl
Kom (Cameroon);bkm
Bukitan;bkn
Kwa';bko
Iboko;bkp
Bakairí;bkq
Bakumpai;bkr
Masbate Sorsogon;bks
Boloki;bkt
Buhid;bku
Bekwarra;bkv
Bekwel;bkw
Baikeno;bkx
Bokyi;bky
Bungku;bkz
Blackfoot;bla
Bilua;blb
Bella Coola;blc
Bolango;bld
Balanta-Kentohe;ble
Buol;blf
Balau;blg
Kuwaa;blh
Bolia;bli
Bolongan;blj
Pa'o Karen;blk
Biloxi;bll
Beli;blm
Southern Catanduanes Bicolano;bln
Anii;blo
Blablanga;blp
Baluan-Pam;blq
Blang;blr
Balaesang;bls
Tai Dam;blt
Kibala;blv
Balangao;blw
Mag-Indi Ayta;blx
Notre;bly
Balantak;blz
Lame;bma
Bembe;bmb
Biem;bmc
Baga Manduri;bmd
Limassa;bme
Bom;bmf
Bamwe;bmg
Kein;bmh
Bagirmi;bmi
Bote-Majhi;bmj
Ghayavi;bmk
Bomboli;bml
Bina;bmn
Bambalang;bmo
Bulgebi;bmp
Bomu;bmq
Muinane;bmr
Somba-Siawari;bmu
Bum;bmv
Bomwali;bmw
Baimak;bmx
Baramu;bmz
Bonerate;bna
Bookan;bnb
Banda;bnd
Bintauna;bne
Masiwang;bnf
Benga;bng
Bangi;bni
Eastern Tawbuid;bnj
Bierebo;bnk
Boon;bnl
Batanga;bnm
Bunun;bnn
Asi;bno
Bola;bnp
Bantik;bnq
Butmas-Tur;bnr
Bundeli;bns
Bentong;bnu
Beneraf;bnv
Bisis;bnw
Bangubangu;bnx
Bintulu;bny
Beezen;bnz
Bora;boa
Aweer;bob
Mundabli;boe
Bolon;bof
North Boma;boh
Barbareño;boi
Anjam;boj
Bonjo;bok
Bole;bol
Berom;bom
Bine;bon
Tiemacèwè Bozo;boo
Bonkiman;bop
Bogaya;boq
Borôro;bor
Bongo;bot
Bondei;bou
Tuwuli;bov
Rema;bow
Buamu;box
Bodo (Central Africa);boy
Tiéyaxo Bozo;boz
Daakaka;bpa
Banda-Banda;bpd
Bonggo;bpg
Botlikh;bph
Bagupi;bpi
Binji;bpj
Orowe;bpk
Broome Pearling Lugger Pidgin;bpl
Biyom;bpm
Anasi;bpo
Kaure;bpp
Banda Malay;bpq
Koronadal Blaan;bpr
Sarangani Blaan;bps
Barrow Point;bpt
Bongu;bpu
Bian Marind;bpv
Palya Bareli;bpx
Bishnupriya Manipuri;bpy
Bilba;bpz
Tchumbuli;bqa
Bagusa;bqb
Boko;bqc
Bung;bqd
Baga Kaloum;bqf
Bakhtiari;bqi
Bandial;bqj
Banda-Mbrès;bqk
Bilakura;bql
Wumboko;bqm
Balo;bqo
Busa;bqp
Biritai;bqq
Burusu;bqr
Bosngun;bqs
Bamukumbit;bqt
Boguru;bqu
Begbere-Ejar;bqv
Buru (Nigeria);bqw
Baangi;bqx
Bakaka;bqz
Braj;bra
Berbice Creole Dutch;brc
Baraamu;brd
Bera;brf
Baure;brg
Brahui;brh
Mokpwe;bri
Bieria;brj
Birgid;brk
Birwa;brl
Barambu;brm
Boruca;brn
Brokkat;bro
Barapasi;brp
Breri;brq
Birao;brr
Baras;brs
Bitare;brt
Eastern Bru;bru
Western Bru;brv
Bellari;brw
Bodo (India);brx
Burui;bry
Bilbil;brz
Abinomn;bsa
Brunei Bisaya;bsb
Bassari;bsc
Wushi;bse
Bauchi;bsf
Bashkardi;bsg
Kamkata-viri;bsh
Bassossi;bsi
Bangwinji;bsj
Burushaski;bsk
Basa-Gumna;bsl
Busami;bsm
Barasana;bsn
Buso;bso
Baga Sitemu;bsp
Bassa;bsq
Bassa-Kontagora;bsr
Akoose;bss
Basketo;bst
Bahonsuai;bsu
Baga Sobané;bsv
Baiso;bsw
Yangkam;bsx
Sabah Bisaya;bsy
Bata;bta
Bati (Cameroon);btc
Dairi Batak;btd
Gamo-Ningi;bte
Birgit;btf
Gagnoa Bété;btg
Biatah Bidayuh;bth
Burate;bti
Bacanese Malay;btj
Mandailing Batak;btm
Ratagnon;btn
Iriga Bicolano;bto
Budibud;btp
Batek;btq
Baetora;btr
Simalungun Batak;bts
Bete-Bendi;btt
Batu;btu
Bateri;btv
Butuanon;btw
Karo Batak;btx
Bobot;bty
Alas-Kluet Batak;btz
Buryat;bua
Bua;bub
Ntcham;bud
Bushoong;buf
Buginese;bug
Younuo Bunu;buh
Bongili;bui
Basa-Gurmana;buj
Bukawa;buk
Bulu (Cameroon);bum
Sherbro;bun
Terei;buo
Busoa;bup
Brem;buq
Bokobaru;bus
Bungain;but
Budu;buu
Bun;buv
Bubi;buw
Boghom;bux
Mmani;buy
Barein;bva
Bube;bvb
Baelelea;bvc
Baeggu;bvd
Berau Malay;bve
Boor;bvf
Bonkeng;bvg
Bure;bvh
Belanda Viri;bvi
Baan;bvj
Bukat;bvk
Bolivian Sign Language;bvl
Bamunka;bvm
Buna;bvn
Bolgo;bvo
Birri;bvq
Burarra;bvr
Bati (Indonesia);bvt
Bukit Malay;bvu
Baniva;bvv
Boga;bvw
Babole;bvx
Baybayanon;bvy
Bauzi;bvz
Bwatoo;bwa
Namosi-Naitasiri-Serua;bwb
Bwile;bwc
Bwaidoka;bwd
Bwe Karen;bwe
Boselewa;bwf
Barwe;bwg
Bishuo;bwh
Baniwa;bwi
Láá Láá Bwamu;bwj
Bauwaki;bwk
Bwela;bwl
Biwat;bwm
Shinasha;bwo
Mandobo Bawah;bwp
Southern Bobo;bwq
Bura;bwr
Bomboma;bws
Bafaw;bwt
Buli (Ghana);bwu
Bwa;bww
Bu-Nao Bunu;bwx
Cwi Bwamu;bwy
Bwisi;bwz
Bauro;bxa
Belanda Bor;bxb
Molengue;bxc
Bilur;bxf
Bangala;bxg
Buhutu;bxh
Pirlatapa;bxi
Bayungu;bxj
Bukusu;bxk
Jalkunan;bxl
Burduna;bxn
Barikanchi;bxo
Bebil;bxp
Beele;bxq
Busam;bxs
Berakou;bxv
Banka;bxw
Binahari;bxz
Palawan Batak;bya
Bikya;byb
Ubaghara;byc
Benyadu';byd
Pouye;bye
Bete;byf
Baygo;byg
Bujhyal;byh
Buyu;byi
Binawa;byj
Biao;byk
Bayono;byl
Bidyara;bym
Blin;byn
Biyo;byo
Bumaji;byp
Basay;byq
Baruya;byr
Burak;bys
Berti;byt
Medumba;byv
Belhariya;byw
Qaqet;byx
Banaro;byz
Bandi;bza
Andio;bzb
Bribri;bzd
Jenaama Bozo;bze
Boikin;bzf
Babuza;bzg
Mapos Buang;bzh
Bisu;bzi
Belizean Creole;bzj
Nicaraguan Creole;bzk
Boano (Sulawesi);bzl
Bolondo;bzm
Boano (Maluku);bzn
Bozaba;bzo
Kemberano;bzp
Buli (Indonesia);bzq
Biri;bzr
Brazilian Sign Language;bzs
Burmeso;bzu
Bebe;bzv
Basa;bzw
Hainyaxo Bozo;bzx
Obanliku;bzy
Evant;bzz
