Dangaléat;daa
Dambi;dac
Marik;dad
Duupa;dae
Dagbani;dag
Gwahatike;dah
Day;dai
Dar Fur Daju;daj
Dakota;dak
Dahalo;dal
Damakawa;dam
Daai Chin;dao
Dandami Maria;daq
Dargwa;dar
Daho-Doo;das
Dar Sila Daju;dau
Taita;dav
Davawenyo;daw
Dayi;dax
Dao;daz
Bangime;dba
Deno;dbb
Dadiya;dbd
Dabe;dbe
Edopi;dbf
Dogul Dom;dbg
Doka;dbi
Ida'an;dbj
Dyirbal;dbl
Duguri;dbm
Duriankere;dbn
Dulbu;dbo
Duwai;dbp
Daba;dbq
Ben Tey;dbt
Bondum Dom Dogon;dbu
Dungu;dbv
Bankan Tey Dogon;dbw
Dibiyaso;dby
Deccani;dcc
Negerhollands;dcr
Dadi Dadi;dda
Doondo;dde
Fataluku;ddg
Diodio;ddi
Jaru;ddj
Dendi;ddn
Tsez;ddo
Dhudhuroa;ddr
Donno So Dogon;dds
Dawera-Daweloor;ddw
Dagik;dec
Dedua;ded
Dewoin;dee
Degema;deg
Dehwari;deh
Demisa;dei
Dem;dem
Pidgin Delaware;dep
Deori;der
Desano;des
Domung;dev
Dengese;dez
Southern Dagaare;dga
Bunoge;dgb
Casiguran Dumagat Agta;dgc
Dagaari Dioula;dgd
Degenan;dge
Doga;dgg
Dghwede;dgh
Northern Dagara;dgi
Dagba;dgk
Dagoman;dgn
Dogrib;dgr
Ntra'ngith;dgt
Daungwurrung;dgw
Doghoro;dgx
Daga;dgz
Dhangu;dhg
Dhundhari;dhd
Dhimal;dhi
Dhalandji;dhl
Zemba;dhm
Dhodia;dho
Tharrgari;dhr
Dhaiso;dhs
Dhurga;dhu
Drehu;dhv
Danuwar;dhw
Dhungaloo;dhx
Dia;dia
South Central Dinka;dib
Lakota Dida;dic
Didinga;did
Dieri;dif
Digo;dig
Dimbong;dii
Dai;dij
Southwestern Dinka;dik
Dilling;dil
Dinka;din
Dibo;dio
Northeastern Dinka;dip
Dirim;dir
Dimasa;dis
Gciriku;diu
Northwestern Dinka;diw
Dixon Reef;dix
Ding;diz
Djadjawurrung;dja
Djinba;djb
Dar Daju Daju;djc
Jaminjung;djd
Zarma;dje
Djangun;djf
Djinang;dji
Ndjébbana;djj
Aukan;djk
Djiwarli;djl
Jamsay;djm
Djauan;djn
Djambarrpuyngu;djr
Kapriman;dju
Djawi;djw
Dakpa;dka
Southeastern Dinka;dks
Mazagway;dkx
Dolgan;dlg
Dahalik;dlk
Dalmatian;dlm
Darlong;dln
Duma;dma
Mombo Dogon;dmb
Gavak;dmc
Madhi Madhi;dmd
Dugwor;dme
Medefaidrin;dmf
Upper Kinabatangan;dmg
Domaaki;dmk
Dama (Nigeria);dmm
Kemezung;dmo
East Damar;dmr
Dampelas;dms
Dubu;dmu
Dumpas;dmv
Mudburra;dmw
Dema;dmx
Demta;dmy
Upper Grand Valley Dani;dna
Daonda;dnd
Ndendeule;dne
Dungan;dng
Lower Grand Valley Dani;dni
Dan;dnj
Dengka;dnk
Dzuun;dnn
Danaru;dnr
Mid Grand Valley Dani;dnt
Danu;dnv
Western Dani;dnw
Dení;dny
Dom;doa
Dobu;dob
Northern Kam;doc
Doe;doe
Domu;dof
Dong;doh
Dogri;doi
Dondo;dok
Doso;dol
Doura;don
Dongo;doo
Lukpa;dop
Dominican Sign Language;doq
Dori'o;dor
Dogosé;dos
Dass;dot
Toka-Leya;dov
Doyayo;dow
Bussa;dox
Dompo;doy
Dorze;doz
Papar;dpp
Dair;drb
Minderico;drc
Rungus;drg
Lela;dri
Baagandji;drl
West Damar;drn
Daro-Matu Melanau;dro
Dura;drq
Gedeo;drs
Rukai;dru
Darai;dry
Lower Sorbian;dsb
Dutch Sign Language;dse
Daasanach;dsh
Disa;dsi
Danish Sign Language;dsl
Dusner;dsn
Desiya;dso
Tadaksahak;dsq
Daur;dta
Labuk-Kinabatangan Kadazan;dtb
Ditidaht;dtd
Adithinngithigh;dth
Ana Tinga Dogon;dti
Tene Kan Dogon;dtk
Tomo Kan Dogon;dtm
Tommo So;dto
Central Dusun;dtp
Lotud;dtr
Toro So Dogon;dts
Toro Tegu Dogon;dtt
Tebul Ure Dogon;dtu
Doteli;dty
Duala;dua
Duna;duc
Umiray Dumaget Agta;due
Dumbea;duf
Chiduruma;dug
Dungra Bhil;duh
Dumun;dui
Uyajitaya;duk
Alabat Island Agta;dul
Middle Dutch;dum
Dusun Deyah;dun
Dupaningan Agta;duo
Duano;dup
Dusun Malang;duq
Dii;dur
Dumi;dus
Drung;duu
Duvle;duv
Dusun Witu;duw
Duun;dux
Dicamay Agta;duy
Duli;duz
Duau;dva
Diri;dwa
Dawro;dwr
Dhuwal;dwu
Dawawa;dww
Dhuwaya;dwy
Dyan;dya
Dyaberdyaber;dyb
Dyugun;dyd
Villa Viciosa Agta;dyg
Djimini;dyi
Yanda Dogon;dym
Dyangadi;dyn
Jola-Fonyi;dyo
Dyula;dyu
Dyaabugay;dyy
Tunzu;dza
Dazaga;dzg
Dzala;dzl
Dzando;dzn
