Namla;naa
Nambikwara;nab
Narak;nac
Naka'ela;nae
Nabak;naf
Naga Pidgin;nag
Nahuatl;nah
Nalu;naj
Nakanai;nak
Nalik;nal
Ngan'gityemerri;nam
Min Nan;nan
Naaba;nao
Neapolitan;nap
Khoekhoe;naq
Iguta;nar
Nasioi;nas
Hungworo;nat
Nawuri;naw
Nakwi;nax
Ngarrindjeri;nay
Coatepec Nahuatl;naz
Nyemba;nba
Ndoe;nbb
Chang;nbc
Ngbinda;nbd
Konyak Naga;nbe
Ngamo;nbh
Mao Naga;nbi
Nake;nbk
Ngbaka Ma'bo;nbm
Kuri;nbn
Nkukoli;nbo
Nnam;nbp
Nggem;nbq
Numana;nbr
Namibian Sign Language;nbs
Na;nbt
Rongmei Naga;nbu
Ngamambo;nbv
Southern Ngbandi;nbw
Ningera;nby
Iyo;nca
Central Nicobarese;ncb
Ponam;ncc
Nachering;ncd
Yale;nce
Notsi;ncf
Nisga'a;ncg
Central Huasteca Nahuatl;nch
Classical Nahuatl;nci
Northern Puebla Nahuatl;ncj
Nakara;nck
Michoacán Nahuatl;ncl
Nauna;ncn
Sibe;nco
Ncane;ncr
Nicaraguan Sign Language;ncs
Chothe Naga;nct
Chumburung;ncu
Central Puebla Nahuatl;ncx
Ndasa;nda
Kenswei Nsei;ndb
Ndau;ndc
Nde-Nsele-Nta;ndd
Ndengereko;ndg
Ndali;ndh
Chamba Leko;ndi
Ndamba;ndj
Ndaka;ndk
Ndolo;ndl
Ndam;ndm
Ngundi;ndn
Ndo;ndp
Ndombe;ndq
Ndoola;ndr
Low German;nds
Ndunga;ndt
Dugun;ndu
Ndut;ndv
Ndobo;ndw
Lutos;ndy
Ndogo;ndz
Eastern Ngad'a;nea
Toura;neb
Kumak;nee
Negidal;neg
Nyenkha;neh
Neko;nej
Nemi;nem
Nengone;nen
Neo;neu
Newar;new
Nez Perce;nez
Ahwai;nfd
Äiwoo;nfl
Nafaanra;nfr
Mfumte;nfu
Ngbaka;nga
Northern Ngbandi;ngb
Ngemba;nge
Ngbaka Manza;ngg
Nǀuu;ngh
Ngizim;ngi
Ngie;ngj
Ngalkbun;ngk
Lomwe;ngl
Ngatik Men's Creole;ngm
Ngwo;ngn
Ngoni;ngo
Ngulu;ngp
Ngoreme;ngq
Nagu;ngr
Gvoko;ngs
Guerrero Nahuatl;ngu
Ngwaba;ngw
Nggwahyi;ngx
Tibea;ngy
Ngungwel;ngz
Nhanda;nha
Beng;nhb
Tabasco Nahuatl;nhc
Chiripá;nhd
Eastern Huasteca Nahuatl;nhe
Nhuwala;nhf
Tetelcingo Nahuatl;nhg
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl;nhi
Cosoleacaque Nahuatl;nhk
Morelos Nahuatl;nhm
Central Nahuatl;nhn
Takuu;nho
Pajapan Nahuatl;nhp
Huaxcaleca Nahuatl;nhq
Naro;nhr
Ometepec Nahuatl;nht
Noone;nhu
Temascaltepec Nahuatl;nhv
Western Huasteca Nahuatl;nhw
Mecayapan Nahuatl;nhx
Northern Oaxaca Nahuatl;nhy
Santa María La Alta Nahuatl;nhz
Nias;nia
Nakame;nib
Ngandi;nid
Nek;nif
Ngalakan;nig
Nyiha;nih
Nii;nii
Ngaju;nij
Nilamba;nim
Nganasan;nio
Nandi;niq
Nimi;nis
Southeastern Kolami;nit
Niuean;niu
Nivkh;niv
Hema;nix
Nzanyi;nja
Njen;njj
Angami;njm
Ao;njo
Njerep;njr
Ndyuka-Trio Pidgin;njt
Kunyi;njx
Njyem;njy
Nyishi;njz
Nkoya;nka
Nkongho;nkc
Nekgini;nkg
Nakai;nkj
Nokuku;nkk
Nkangala;nkn
Nkonya;nko
Nkami;nkq
Nukuoro;nkr
Nyika;nkt
Nkutu;nkw
Nkari;nkz
Ngombale;nla
Nalca;nlc
East Nyala;nle
Gela;nlg
Grangali;nli
Nyali;nlj
Nihali;nll
Ngul;nlo
Nchumbulu;nlu
Orizaba Nahuatl;nlv
Nyamal;nly
Nalögo;nlz
Big Nambas;nmb
Ngam;nmc
Ndumu;nmd
Tangkhul Naga;nmf
Kwasio;nmg
Nyam;nmi
Namakura;nmk
Ndemli;nml
Manangba;nmm
ǃXóõ;nmn
Nambya;nmq
Letemboi;nms
Northeast Maidu;nmu
Ngamini;nmv
Namuyi;nmy
Nawdm;nmz
Nande;nnb
Nancere;nnc
West Ambae;nnd
Ngandyera;nne
Ngaing;nnf
Ngiemboon;nnh
Nankina;nnk
Namia;nnm
Ngete;nnn
Wancho;nnp
Ngindo;nnq
Narungga;nnr
Nanticoke;nnt
Dwang;nnu
Southern Nuni;nnw
Nyangga;nny
Nda'nda';nnz
Woun Meu;noa
Nuk;noc
Northern Thai;nod
Nimadi;noe
Nogai;nog
Nonuya;noj
Nomlaki;nol
Nocamán;nom
Old Norse;non
Numanggang;nop
Ngongo;noq
Nomatsiguenga;not
Novial;nov
Nyambo;now
Southeastern Puebla Nahuatl;npl
Ede Nago;nqg
Ngendelengo;nql
Ndom;nqm
N'Ko;nqo
Ngom;nra
Noric;nrc
Norman;nrf
Narango;nrg
Ngarla;nrk
Ngarluma;nrl
Narom;nrm
Norn;nrn
Narua;nru
Lower Nossob;nsb
Nshi;nsc
Nsenga;nse
Ngoshie;nsh
Naskapi;nsk
Nehan;nsn
Northern Sotho;nso
Northern Sierra Miwok;nsq
Tangsa;nst
Sierra Negra Nahuatl;nsu
Navut;nsw
Nsongo;nsx
Nisenan;nsz
Ngaanyatjarra;ntj
Ikoma;ntk
Nateni;ntm
Ntomba;nto
Northern Tepehuan;ntp
Delo;ntr
Natügu;ntu
Nottoway;ntw
Yuanga;nua
Ngala;nud
Ngundu;nue
Ndunda;nuh
Nyole (Uganda);nuj
Nootka;nuk
Niuafo'ou;num
Anong;nun
Nguôn;nuo
Nupe;nup
Nuguria;nur
Nuer;nus
Nùng;nut
Ngbundu;nuu
Northern Nuni;nuv
Mehek;nux
Tlamacazapa Nahuatl;nuz
Nasarian;nvh
Nyokon;nvo
Nawathinehena;nwa
Classical Newar;nwc
Ngwe;nwe
Southwest Tanna;nwi
Nauo;nwo
Middle Newar;nwx
Nottoway-Meherrin;nwy
Ngadha;nxg
Nindi;nxi
Numidian;nxm
Ngawun;nxn
Ndambomo;nxo
Naxi;nxq
Ninggerum;nxr
Narau;nxu
Nafri;nxx
Nyangbo;nyb
Nyanga-li;nyc
Nyole (Kenya);nyd
Nyengo;nye
Giryama;nyf
Nyindu;nyg
Nyigina;nyh
Nyimang;nyi
Nyanga (Congo);nyj
Nyaneka;nyk
Nyamwezi;nym
Nyankole;nyn
Nyoro;nyo
Nyunga;nys
Nyungwe;nyu
Nyulnyul;nyv
Nyaw;nyw
Nganyaywana;nyx
Nyakyusa;nyy
Tigon Mbembe;nza
Njebi;nzb
Nzadi;nzd
Nzakara;nzk
Nzakambay;nzy
Nanga Dama Dogon;nzz
