Orok;oaa
Oroch;oac
Old Avar;oav
Obispeño;obi
Southern Bontoc;obk
Moabite;obm
Obo Manobo;obo
Old Burmese;obr
Old Breton;obt
Obulom;obu
Ocaina;oca
Old Chinese;och
Old Cornish;oco
Tlahuica;ocu
Odut;oda
Od;odk
Old Dutch;odt
Odual;odu
Old Frisian;ofs
Efutop;ofu
Ogbia;ogb
Ogbah;ogc
Old Georgian;oge
Ogbogolo;ogg
Khana;ogo
Ogbronuagum;ogu
Old Hungarian;ohu
Oirata;oia
Northwestern Ojibwa;ojb
Central Ojibwa;ojc
Eastern Ojibwa;ojg
Old Japanese;ojp
Severn Ojibwa;ojs
Ontong Java;ojv
Western Ojibwa;ojw
Okanagan;oka
Okobo;okb
Okpe (Southwestern Edo);oke
Kok-Paponk;okg
Koresh-e Rostam;okh
Okiek;oki
Kwamtim One;okk
Middle Korean;okm
Okinoerabu;okn
Old Korean;oko
Oko-Eni-Osayen;oks
Oku;oku
Orokaiva;okv
Okpe (Northwestern Edo);okx
Old Khmer;okz
Mochi;old
Olekha;ole
Oloma;olm
Livvi;olo
Olrat;olr
Old Lithuanian;olt
Kuvale;olu
Omaha-Ponca;oma
Omba;omb
Mochica;omc
Omagua;omg
Omok;omk
Ombo;oml
Utarmbung;omo
Old Manipuri;omp
Old Marathi;omr
South Tairora;omw
Old Mon;omx
Selk'nam;ona
Lingao;onb
Oneida;one
Olo;ong
Onin;oni
Onjob;onj
Kabore One;onk
Onobasulu;onn
Onondaga;ono
Sartang;onp
Northern One;onr
Ono;ons
Unua;onu
Old Nubian;onw
Pidgin Onin;onx
O'odham;ood
Önge;oon
Okpamheri;opa
Kopkaka;opk
Oksapmin;opm
Opao;opo
Opata;opt
Ofayé;opy
Orejón;ore
Oring;org
Oroqen;orh
Orokolo;oro
Oruma;orr
Adivasi Odia;ort
Ormuri;oru
Old East Slavic;orv
Oro Win;orw
Oro;orx
Ormu;orz
Osage;osa
Oscan;osc
Osing;osi
Old Sundanese;osn
Ososo;oso
Old Spanish;osp
Osatu;ost
Southern One;osu
Old Saxon;osx
Ottoman Turkish;ota
Old Tibetan;otb
Ot Danum;otd
Mezquital Otomi;ote
Old Turkic;otk
Tilapa Otomi;otl
Eastern Highland Otomi;otm
Tenango Otomi;otn
Querétaro Otomi;otq
Estado de México Otomi;ots
Temoaya Otomi;ott
Otuke;otu
Ottawa;otw
Texcatepec Otomi;otx
Old Tamil;oty
Ixtenco Otomi;otz
Old Uyghur;oui
Ouma;oum
Elfdalian;ovd
Owiniga;owi
Old Welsh;owl
Wayampi;oym
Oya'oya;oyy
Koonzime;ozm
