Vaagri Booli;vaa
Varhadi;vah
Vai;vai
Vao;vao
Huarijio;var
Varli;vav
Southwestern Bontoc;vbk
Venetan;vec
Veddah;ved
Ventureño;veo
Veps;vep
Vaghri;vgr
Virgin Islands Creole;vic
Vili;vif
Bajjika;vjk
Kariyarra;vka
Ija-Zuba;vki
Kulisusu;vkl
Kamakan;vkm
Korlai Creole Portuguese;vkp
Kurrama;vku
Valpei;vlp
West Flemish;vls
Martuthunira;vma
Mbabaram;vmb
Juxtlahuaca Mixtec;vmc
Mudu Koraga;vmd
East Masela;vme
East Franconian;vmf
Minigir;vmg
Maraghei;vmh
Ixtayutla Mixtec;vmj
Makhuwa-Shirima;vmk
Malgana;vml
Mitlatongo Mixtec;vmm
Soyaltepec Mixtec;vmq
Marenje;vmr
Valley Maidu;vmv
Makhuwa;vmw
Tamazola Mixtec;vmx
Mazatlán Mazatec;vmz
Lovono;vnk
Neve'ei;vnm
Vunapu;vnp
Votic;vot
Vera'a;vra
Võro;vro
Burmbar;vrt
Vunjo;vun
Vute;vut
Awa (China);vwa
