Walla Walla;waa
Wab;wab
Wasco-Wishram;wac
Wandamen;wad
Wa'ema;wag
Watubela;wah
Waffa;waj
Wolaytta;wal
Massachusett;wam
Wappo;wao
Wapishana;wap
Wageman;waq
Waray-Waray;war
Washo;was
Kaninuwa;wat
Wauja;wau
Waiwai;waw
Watam;wax
Wayana;way
Wampur;waz
Warao;wba
Wabo;wbb
Waritai;wbe
Wanji;wbi
Alagwa;wbj
Waigali;wbk
Wakhi;wbl
Warlpiri;wbp
Wajarri;wbv
Woi;wbw
Yanomam;wca
Wendat;wdt
Wedau;wed
Cameroon Pidgin;wes
Weyewa;wew
Wangganguru;wgg
Wirangu;wgu
Warrgamay;wgy
Wichita;wic
Minidien;wii
Wik-Mungkan;wim
Winnebago;win
Wiraféd;wir
Muduapa;wiv
Wiyot;wiy
Warji;wji
Mo;wkd
Mwali Comorian;wlc
Wolane;wle
Kunbarlang;wlg
Wailaki;wlk
Middle Welsh;wlm
Wolio;wlo
Wailapa;wlr
Wallisian;wls
Wichí Lhamtés Vejoz;wlv
Wali (Ghana);wlx
Waling;wly
Wambaya;wmb
Mamaindé;wmd
Wambule;wme
Waima'a;wmh
Maiwa (Indonesia);wmm
Waamwang;wmn
Wam;wmo
Wambon;wms
Walmajarri;wmt
Mwani;wmw
Womo;wmx
Wanambre;wnb
Wantoat;wnc
Wandarang;wnd
Waneci;wne
Wanggom;wng
Ndzwani Comorian;wni
Wanukaka;wnk
Wanggamala;wnm
Wano;wno
Wanap;wnp
Usan;wnu
Wintu;wnw
Wanyi;wny
Wogeo;woc
Wolani;wod
Woleaian;woe
Wogamusin;wog
Kamang;woi
Longto;wok
Perema;wom
Wongo;won
Manombai;woo
Woria;wor
Hanga Hundi;wos
Wawonii;wow
Warapu;wra
Warluwara;wrb
Warungu;wrg
Wiradjuri;wrh
Wariyangga;wri
Garawa;wrk
Warumungu;wrm
Waropen;wrp
Wusi;wsi
Waskia;wsk
Wasa;wss
Watiwa;wtf
Wathaurong;wth
Berta;wti
Mewati;wtm
Wudu;wud
Wutunhua;wuh
Wumbvu;wum
Bungu;wun
Wutung;wut
Wu;wuu
Wuvulu-Aua;wuv
Waama;wwa
Dorig;wwo
Wawa;www
Waxiang;wxa
Wyandot;wya
Ngiyambaa;wyb
Woiwurrung;wyi
Vilamovian;wym
Western Fijian;wyy
